No,NamaProduk,Kategori,Deskripsi,Spesifikasi,Harga,Stok,Rating
1,Smartwatch Zenix S1,Smartwatch,Smartwatch elegan dengan fitur deteksi detak jantung,"Bluetooth 5.0, Waterproof IP68, Baterai 7 hari",Rp1.200.000,150,4.5
2,Lampu Pintar Luxlite A10,Smart Home,Lampu pintar dengan kontrol via aplikasi smartphone,"WiFi, RGB Color, Timer Otomatis",Rp350.000,300,4.7
3,Laptop NexaBook 14,Laptop,Laptop ringan untuk produktivitas harian,"Intel i5, RAM 8GB, SSD 512GB, Layar 14""",Rp7.500.000,75,4.4
4,Speaker Bluetooth SoundBoom X5,Audio,Speaker portabel dengan suara bass kuat,"Bluetooth 5.1, Baterai 12 jam, Tahan air IPX7",Rp850.000,200,4.6
5,"Smart TV VisionPro 50""",TV,Smart TV 4K dengan sistem Android TV,"Resolusi 4K UHD, Android 11, WiFi Built-in",Rp5.200.000,50,4.8
6,Headphone Wireless BeatPulse 900,Audio,Headphone wireless dengan noise cancellation,"Bluetooth 5.2, ANC, Baterai 20 jam",Rp2.100.000,120,4.5
7,Robot Vacuum CleanyBot V2,Smart Home,Robot vacuum cerdas dengan navigasi laser,"WiFi App Control, Auto-Charge, Sensor Anti-Jatuh",Rp2.800.000,80,4.3
8,Tablet VisionTab 10X,Tablet,Tablet 10 inci untuk hiburan dan kerja,"Octa-core, RAM 6GB, Storage 128GB, Layar 10.1""",Rp3.100.000,60,4.2
9,Smart Door Lock SecureKey X,Smart Home,Smart lock dengan sidik jari dan aplikasi,"Fingerprint, App Control, PIN Code Access",Rp1.500.000,90,4.6
10,Smartwatch FitBand Pro,Smartwatch,Smartwatch fitness tracker dengan GPS built-in,"GPS, Heart Rate Monitor, Waterproof IP67",Rp900.000,180,4.4
11,Drone SkyView Mini D5,Drone,Drone mini dengan kamera 4K,"Kamera 4K, 20 Menit Terbang, WiFi FPV",Rp2.500.000,40,4.7
12,Kamera Mirrorless SnapShot M1,Camera,Kamera mirrorless ringan untuk fotografi harian,"24MP, WiFi Transfer, Lensa Kit 16-50mm",Rp6.900.000,35,4.8
13,Powerbank UltraCharge 20000,Accessories,Powerbank kapasitas besar dengan pengisian cepat,"20.000mAh, Quick Charge 3.0, USB-C",Rp450.000,250,4.6
14,Mouse Wireless Glide M8,Accessories,Mouse wireless ergonomis untuk kerja panjang,"2.4GHz Wireless, DPI Adjustable, Silent Click",Rp150.000,300,4.5
15,Keyboard Mechanical ThunderKeys K80,Accessories,Keyboard mekanikal untuk gaming dan kerja,"Switch Blue, RGB Backlight, USB Wired",Rp750.000,90,4.7
16,Smart Air Purifier FreshAir P1,Smart Home,Air purifier pintar dengan sensor kualitas udara,"HEPA Filter, WiFi Control, Auto Mode",Rp1.300.000,70,4.4
17,Smartwatch SportX Runner S3,Smartwatch,Smartwatch untuk aktivitas outdoor ekstrem,"Compass, GPS, Waterproof 10ATM",Rp2.000.000,100,4.5
18,Laptop Gaming Beastro G7,Laptop,Laptop gaming powerful dengan grafis RTX,"Intel i7, RAM 16GB, SSD 1TB, RTX 4060",Rp19.000.000,25,4.9
19,Smart Speaker EchoVoice Mini,Smart Home,Smart speaker dengan asisten virtual,"WiFi, Bluetooth, Voice Control",Rp950.000,160,4.3
20,Printer Wireless JetPrint 3050,Accessories,Printer wireless multifungsi untuk rumah,"Cetak, Scan, Copy, WiFi Direct",Rp1.200.000,85,4.4
21,"Monitor Ultrawide ViewPlus 34""",Monitor,Monitor ultrawide untuk multitasking,"34"" 3440x1440, 100Hz, FreeSync",Rp7.000.000,45,4.6
22,SSD External SpeedDrive 1TB,Accessories,SSD eksternal cepat dan portabel,"1TB, USB 3.2 Gen2, Shockproof",Rp1.700.000,110,4.7
23,Smart Plug ControlSmart P1,Smart Home,Colokan pintar dengan kontrol aplikasi,"WiFi, Timer, Energy Monitoring",Rp250.000,220,4.5
24,Camera CCTV SmartSecure C5,Smart Home,Camera keamanan rumah dengan night vision,"1080p HD, Night Vision, Motion Detection",Rp650.000,130,4.4
25,Laptop 2-in-1 FlexTab Z11,Laptop,Laptop convertible untuk fleksibilitas maksimal,"Touchscreen 360 derajat, RAM 8GB, SSD 512GB",Rp9.200.000,40,4.6
26,Smartwatch KidsTracker K1,Smartwatch,Smartwatch anak dengan pelacakan GPS,"GPS Tracker, SOS Button, Voice Call",Rp700.000,140,4.5
27,Smart Mirror BeautyReflect M2,Smart Home,Cermin pintar dengan fitur pencahayaan otomatis,"Touch Control, Adjustable Light, Bluetooth Speaker",Rp1.600.000,70,4.3
28,Action Camera GoXtreme 8K,Camera,Action camera tahan air dengan resolusi tinggi,"8K Video, Waterproof 30m, WiFi App",Rp3.500.000,50,4.7
29,Charger Wireless QuickPad 15W,Accessories,Charger wireless cepat untuk smartphone,"15W Fast Charge, Qi Compatible",Rp300.000,250,4.4
30,Portable Projector BeamLite P6,Projector,Proyektor mini portabel untuk hiburan di rumah,"720p, WiFi Mirroring, Baterai 2 Jam",Rp2.200.000,60,4.5
